Region,P_Code,Sector,Activity_Type,Organisation,Activity_Description,Start_Date,End_Date,Comments
Pita,GIN007003,Communications,Activités de communication auprès des établissements scolaires,UNICEF,,,,
Pita,GIN007003,Communications,Activités de communication auprès des établissements scolaires,Plan International,,,,
Siguiri,GIN004005,Communications,Activités de communication auprès des établissements scolaires,UNICEF,,,,
Siguiri,GIN004005,Communications,Activités de communication auprès des établissements scolaires,Plan International,,,,
Télimélé,GIN005005,Communications,Activités de communication auprès des établissements scolaires,UNICEF,,,,
Télimélé,GIN005005,Communications,Activités de communication auprès des établissements scolaires,Plan International,,,,
Tougue,GIN006005,Communications,Activités de communication auprès des établissements scolaires,UNICEF,,,,
Tougue,GIN006005,Communications,Activités de communication auprès des établissements scolaires,Plan International,,,,
Yomou,GIN008006,Communications,Activités de communication auprès des établissements scolaires,UNICEF,,,,
Yomou,GIN008006,Communications,Activités de communication auprès des établissements scolaires,Plan International,,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,USAID,Formation pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,Save the Children,Formation pour AC,,,
Boké,GIN001002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Boké,GIN001002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,en cours,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,PLAN,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Formation pour AC,,en cours,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,PLAN,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,PLAN,Formation pour AC,,"si besoin, appui possible dès début Décembre",
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Formation pour AC,,11/1/2014,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,USAID,Formation pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,save the Children,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,ACF ,Formation pour AC,,ACF: appui possible à partir de Janvier si besoin.,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,en cours,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Formation pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Formation pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Formation pour AC,,UNFPA:31 Decembre ,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,ACF,Formation pour AC,,ACF: à partir du 22 Déc,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Formation pour AC,,en cours,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC (30),,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC ,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,USAID,Formation pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,Save the Children,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC (80),,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,Save the Children,Formation pour AC,,UNFPA:31 Decembre ,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,Save the Children ,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,en cours,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC  (20),,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,UNFPA ,Formation pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC (100),,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,UNFPA:31 Decembre,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC (180),,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,Plan,Formation pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,aCF,Formation pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC (180),,UNFPA: 10 decembre 2014,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,ACF: appui possible si besoin à partir du 15 Décembre,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,UNFPA,Formation pour AC (80),,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,OMS,Formation pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,CDC,Formation pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Boké,GIN001002,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Boké,GIN001002,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,en cours,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,Plan,Vélos pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Vélos pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,plan,Vélos pour AC,,UNFPA:31 Decembre ,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,plan,Vélos pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Vélos pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC (30),,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,usAID,Vélos pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,Save the Children,Vélos pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,Save: en cours; UNFPA:31 Decembre ,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC (20),,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,ACF: appui possible à partir du 12 Janvier.,
Lola,GIN008003,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC (100),,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,plan,Vélos pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC (180),,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,plan,Vélos pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,UNFPA,Vélos pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,ACF,Vélos pour AC,,,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire, OMS,Vélos pour AC,,,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,UNFPA ,Vélos pour AC (80),,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,OMS,Vélos pour AC,,UNFPA:31 Decembre ,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,CDC,Vélos pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,USAID,Salaire pour AC,,en cours,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,save the children,Salaire pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,ACF,Salaire pour AC (perdiem),,12/1/2014,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,save the Children,Salaire pour AC (70),,11/1/2014,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,plan,Salaire pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,ACF,,,1/1/2015,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,ACF,Salaire pour AC (perdiem),,1/12/2015,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA 28,Salaire pour AC,,12/31/2014,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,plan,Salaire pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,ACF,Salaire pour AC (perdiem),,12/22/2014,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,plan,Salaire pour AC,,en cours,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,MSF,Salaire pour AC,,en cours,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA ,Salaire pour AC (30),,12/31/2014,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,USAID,Salaire pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,save the Children,Salaire pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA ,Salaire pour AC (80),,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,save the children,Salaire pour AC (25),,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA ,Salaire pour AC (20),,12/31/2014,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,USAID,Salaire pour AC (20),,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,save the children,Salaire pour AC (20),,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,UNFPA,Salaire pour AC,,12/10/2014,
Labé,GIN006002,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,ACF,Salaire pour AC (perdiem),,12/15/2014,
Lola,GIN008003,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,en cours,
Lola,GIN008003,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,en cours,
Lola,GIN008003,Surveillance & suivi,agent communautaire,UNFPA,Salaire pour AC,,en cours,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,UNFPA ,Salaire pour AC (100),,12/31/2014,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,plan,Salaire pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,UNFPA,Salaire pour AC 180),,12/31/2014,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,plan,Salaire pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,save the Children,Salaire pour AC,,en cours,
Pita,GIN007003,Surveillance & suivi,agent communautaire,ACF,Salaire pour AC,,1/12/2015,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,save the Children,Salaire pour AC (25),,en cours,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,UNFPA,Salaire pour AC,,12/31/2014,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,UNFPA ,Salaire pour AC (80),,12/31/2014,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,OMS,Salaire pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,CDC,Salaire pour AC,,,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,en cours,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,en cours,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,en cours,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,en cours,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Faranah,GIN003003,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Guéckédou,GIN008002,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Kankan,GIN004001,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Kindia,GIN005004,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Labé,GIN006002,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Lola,GIN008003,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Macenta,GIN008004,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
N'zérékoré,GIN008005,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Pita,GIN007003,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,1/12/2014,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,UNFPA ,Téléphones pour AC,,,
Siguiri,GIN004005,Surveillance & suivi,agent communautaire,Columbia Univ ,Téléphones pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,UNFPA,Téléphones pour AC,,,
Yomou,GIN008006,Surveillance & suivi,agent communautaire,UNFPA,Téléphones pour AC,,12/31/2014,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,en cours,
Beyla,GIN008001,Surveillance & suivi,agent communautaire,CDC,Credit mensuel de Communication pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,en cours,
Boké,GIN001002,Surveillance & suivi,agent communautaire,CDC,Credit mensuel de Communication pour AC,,en cours,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,CDC,Credit mensuel de Communication pour AC,,,
Conakry,GIN002001,Surveillance & suivi,agent communautaire,ACF,Credit mensuel de Communication pour AC,,"si besoin, appui possible",
Conakry,GIN002001,Surveillance & suivi,agent communautaire,save the Children,Credit mensuel de Communication pour AC,,11/1/2014,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,CDC,Credit mensuel de Communication pour AC,,,
Coyah,GIN005001,Surveillance & suivi,agent communautaire,Plan,Credit mensuel de Communication pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,CDC,Credit mensuel de Communication pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,agent communautaire,ACF,Credit mensuel de Communication pour AC,1/12/2014,,
Dubréka,GIN005002,Surveillance & suivi,agent communautaire,OMS,Credit mensuel de Communication pour AC,,en cours,
